,Brand Name,Product Name,Price,Stars
0,Van Heusen,Men's Regular Fit Polo Shirt,Rs. 579,4.0 out of 5 stars
1,Scott International,Men's Regular Fit T-Shirt (Pack of 3),Rs. 474,3.7 out of 5 stars
2,Jump Cuts,Mens Printed Round Neck Full Sleeve Navy and Yellow Cotton Slim Fit Tshirt,Rs. 349,3.7 out of 5 stars
3,Jockey,Men's Regular Fit Round Neck Half Sleeved T-Shirt,Rs. 470,4.3 out of 5 stars
4,Jockey,Men's Regular Fit V Neck Half Sleeved T-Shirt,Rs. 512,4.3 out of 5 stars
5,Gildan,Men's White Crew T-Shirt Multipack,"Rs. 5,850",4.6 out of 5 stars
6,Amazon Brand - Symbol,Women's Solid Regular Fit Half Sleeve T-Shirt (Combo Pack of 3),Rs. 739,4.2 out of 5 stars
7,Jockey,Men's Navy & Charcoal Melange Regular Fit T-Shirt,Rs. 559,4.2 out of 5 stars
8,AMERICAN CREW,Men's Regular Fit Polos,Rs. 699,4.1 out of 5 stars
9,AMERICAN CREW,Polo Collar Cotton Poly Striped T-Shirt for Men,Rs. 699,4.0 out of 5 stars
10,Amazon Brand - Symbol,Men's Regular T-Shirt,Rs. 999,4.1 out of 5 stars
11,U.S. POLO ASSN.,Men's Regular fit T-Shirt,Rs. 473,3.9 out of 5 stars
12,BLIVE,Regular fit Solid Men's Henley Neck Full Sleeve Cotton Blend T Shirts,Rs. 319,3.3 out of 5 stars
13,Lyned,Mens Cotton Half Sleeve Striped Polo T Shirt with Collar,Rs. 569,3.6 out of 5 stars
14,Allen Solly,Men Polo,Rs. 699,4.1 out of 5 stars
15,RodZen,Men's Cotton Half Sleeve Regular Fit Striped T-Shirt,Rs. 394,3.6 out of 5 stars
16,LEOTUDE,Regular Fit Full Sleeve Cotton Blend Men's T-Shirt,Rs. 318,3.4 out of 5 stars
17,EYEBOGLER,Men's T-Shirt,Rs. 329,3.8 out of 5 stars
18,Van Heusen,Men's Regular Fit Polo Shirt,Rs. 349,4.0 out of 5 stars
19,Zexer,Men Men Compression T-Shirt Gym and Sports Wear T-Shirt for Men | Body fit Skinny T-Shirt (Black,Rs. 579,4.1 out of 5 stars
20,Bewakoof,Men's Cotton Printed Batman Outline Logo (Bml) Batman Half Sleeves | Round Neck | Regular Fit T-Shirt/Tee,Rs. 329,4.2 out of 5 stars
21,Van Heusen Athleisure,Men's Solid Regular Fit T-Shirt,Rs. 549,4.1 out of 5 stars
22,AMERICAN CREW,Men's Regular Fit Polos,Rs. 699,4.1 out of 5 stars
23,Dixcy Scott,Men's Regular Fit T-Shirt,Rs. 399,5.0 out of 5 stars
24,TAB91,TAB91 Men's Polo T-Shirt (Pack of 6),"Rs. 1,299",5.0 out of 5 stars
25,GESPO,Women's Round Neck T-Shirts(-P),Rs. 398,5.0 out of 5 stars
26,STATUS MANTRA,Cotton Regular Fit Half Sleeves Basic Printed T-Shirt for Mens,Rs. 299,3.1 out of 5 stars
27,Bewakoof,Men's Wander Geometry Round Neck Half Sleeve White Printed T-Shirt,Rs. 622,5.0 out of 5 stars
28,Tinted,Men's Solid Knitted Round Neck Half Sleeve T-Shirt,Rs. 775,3.0 out of 5 stars
29,Generic,RG Garments Men's Polo Regular Half Sleeve Pocket T-Shirts,Rs. 299,5.0 out of 5 stars
30,Generic,beRandom Round Neck Plain Unisex Bio-Washed 100% Cotton T-Shirt,Rs. 349,5.0 out of 5 stars
31,London Hills,Men's Regular Fit Printed Full Sleeve Soft & Strong Hooded T-Shirt,Rs. 399,3.7 out of 5 stars
32,Amazon Brand - Symbol,Men's Regular Fit T-Shirt,Rs. 649,4.0 out of 5 stars
33,Amazon Brand - Symbol,Men T-Shirt,Rs. 999,4.1 out of 5 stars
34,LEOTUDE,Men's Regular Fit Matty Polo T-Shirt Combo (Pack of 2),Rs. 644,3.6 out of 5 stars
35,Levi's,Men T-Shirt,Rs. 521,4.1 out of 5 stars
36,LEWEL,"Men's Stylish Hooded Neck Checked Buttoned Down T-Shirt (White, Black)",Rs. 489,3.4 out of 5 stars
37,Van Heusen Athleisure,"Men T-Shirt - Cotton Rich - Smart Tech, Easy Stain Release, Anti Stat, Ultra Soft, Quick Dry",Rs. 549,4.1 out of 5 stars
38,Jockey,Men's Regular Fit Round Neck Half Sleeved T-Shirt,Rs. 522,4.3 out of 5 stars
39,U.S. POLO ASSN.,Men T-Shirt,Rs. 599,4.0 out of 5 stars
40,Urbano Fashion,Men's Printed Full Sleeve Slim Fit Cotton T-Shirt,Rs. 399,3.7 out of 5 stars
41,BULLMER,Mens Regular Fit Printed Cotton Polo Tshirt,Rs. 436,4.0 out of 5 stars
42,Van Heusen Athleisure,"Men Polo T-Shirt - Cotton Rich - Ultra Soft, Short Sleeve, Textured",Rs. 854,4.1 out of 5 stars
43,JUGULAR,Men's Cotton Printed T-Shirt,Rs. 289,3.3 out of 5 stars
44,Bewakoof,Men's Cotton Printed Batman Outline Logo (Bml) Batman Half Sleeves | Round Neck | Regular Fit T-Shirt/Tee,Rs. 339,4.2 out of 5 stars
45,Jump Cuts,Mens Printed Round Neck Full Sleeve Black and White Cotton Slim Fit T-Shirt,Rs. 330,3.3 out of 5 stars
46,AELOMART,Men's T Shirt-(Amt250105-P_Green),Rs. 497,3.8 out of 5 stars
47,Van Heusen Athleisure,"Van Heusen Men T-Shirt - Cotton Rich - Quick Dry, Crew Neck, Zipper Pocket",Rs. 439,4.0 out of 5 stars
48,EYEBOGLER,Men's Loose T-Shirt,Rs. 329,3.7 out of 5 stars
49,London Hills,Printed Men's Round Neck Black T-Shirt,Rs. 379,3.8 out of 5 stars
50,BULLMER,Mens Regular Fit Printed Polo Collared Tshirt,Rs. 436,3.8 out of 5 stars
51,BULLMER,Mens Regular Fit Printed Round Neck Cotton Tshirt Pack of 3 - Maroon/Yellow,Rs. 488,3.6 out of 5 stars
52,Levi's,Men's Regular Fit T-Shirt,Rs. 559,5.0 out of 5 stars
53,London Hills,Solid Men's Round Neck Sports T-Shirt,Rs. 179,3.8 out of 5 stars
54,AELOMART,Men's T Shirt,Rs. 497,3.9 out of 5 stars
55,BULLMER,Mens Cotton Henley Neck/Chinese Collar Tshirt,Rs. 440,4.0 out of 5 stars
56,Puma,Men T-Shirt,"Rs. 1,649",4.1 out of 5 stars
57,BULLMER,Mens Cotton Henley Neck/Chinese Collar Tshirt,Rs. 440,3.5 out of 5 stars
58,EYEBOGLER,Regular Fit Men's Cotton T-Shirt,Rs. 259,4.1 out of 5 stars
59,DAMENSCH,Better Basics Half Crew Printed T Shirt,Rs. 545,3.9 out of 5 stars
60,Alan Jones Clothing,Men's Slim Fit Polo T-Shirt,Rs. 449,4.0 out of 5 stars
61,Allen Solly,Men's Regular Fit T-Shirt,Rs. 429,3.8 out of 5 stars
62,Bigbanana,Plus Size Men's Henley T-Shirt,Rs. 660.,3.5 out of 5 stars
63,Adidas,Men's Regular Fit T-Shirt,Rs. 669,3.8 out of 5 stars
64,London Hills,Men's Regular Fit T-Shirt,Rs. 247,3.5 out of 5 stars
